Timestamp,"Air temperature (gund, ℃)","Relative humidity (gund, %)","Wind direction (gund, °)","Wind speed (gund, m/s)","Pressure (gund, mbar)","Solar radiation (gund, W/m^2)"
6/27/22 0:00,22.18,63.7,233,1,1011.9,1
6/27/22 0:05,22.13,63,229,2,1011.9,1
6/27/22 0:10,21.99,63.2,220,1,1011.8,1
6/27/22 0:15,21.96,63.2,241,1,1011.8,1
6/27/22 0:20,21.99,62.4,243,1,1011.9,1
6/27/22 0:25,22.01,62.2,243,1.5,1011.6,1
6/27/22 0:30,21.91,62.3,237,1,1011.6,1
6/27/22 0:35,21.91,62,237,1.5,1011.6,1
6/27/22 0:40,21.96,61.9,233,2,1011.5,1
6/27/22 0:45,21.75,62.3,240,1,1011.5,1
6/27/22 0:50,21.58,62.4,248,1,1011.7,1
6/27/22 0:55,21.7,62.2,241,1.5,1011.6,1
6/27/22 1:00,21.63,62.4,227,1,1011.7,1
6/27/22 1:05,21.72,62.2,227,1.5,1011.5,1
6/27/22 1:10,21.65,62.2,230,1.5,1011.4,1
6/27/22 1:15,21.46,62.5,219,0.5,1011.4,1
6/27/22 1:20,21.58,62.1,225,1,1011.4,1
6/27/22 1:25,21.63,62.2,240,1,1011.3,1
6/27/22 1:30,21.63,62.1,233,1,1011.4,1
6/27/22 1:35,21.72,62.1,246,1.5,1011.3,1
6/27/22 1:40,21.65,61.9,227,1,1011.3,1
6/27/22 1:45,21.7,61.9,226,0.5,1011.3,1
6/27/22 1:50,21.65,62.1,215,0.5,1011.4,1
6/27/22 1:55,21.77,62.3,233,0.5,1011.1,1
6/27/22 2:00,21.96,61.9,237,1,1011.2,1
6/27/22 2:05,22.03,61.9,247,2,1011,1
6/27/22 2:10,22.01,62.3,230,1,1010.9,1
6/27/22 2:15,22.11,62.4,254,1.5,1011,1
6/27/22 2:20,22.08,62.7,253,1.5,1010.9,1
6/27/22 2:25,22.03,63.2,258,1,1010.9,1
6/27/22 2:30,22.13,63.3,247,1,1010.9,1
6/27/22 2:35,22.15,63.5,240,2.5,1010.8,1
6/27/22 2:40,22.15,63.9,230,2,1010.8,1
6/27/22 2:45,22.06,64.3,236,1,1010.8,1
6/27/22 2:50,22.08,64.7,225,1.5,1010.8,1
6/27/22 2:55,22.01,65.2,230,1.5,1010.8,1
6/27/22 3:00,21.99,65.4,237,1.5,1010.6,1
6/27/22 3:05,22.03,65.6,230,2,1010.7,1
6/27/22 3:10,21.96,66.2,225,1.5,1010.6,1
6/27/22 3:15,21.96,66.7,227,2,1010.4,1
6/27/22 3:20,21.94,67.1,241,2,1010.5,1
6/27/22 3:25,21.96,67.5,227,1.5,1010.3,1
6/27/22 3:30,21.91,67.9,229,1.5,1010.2,1
6/27/22 3:35,21.82,68.6,240,1.5,1010.1,1
6/27/22 3:40,21.84,69,233,1.5,1010,1
6/27/22 3:45,21.82,69.5,244,2,1009.9,1
6/27/22 3:50,21.72,70,223,1.5,1009.9,1
6/27/22 3:55,21.75,70.3,229,1.5,1010,1
6/27/22 4:00,21.7,70.8,234,1,1009.9,1
6/27/22 4:05,21.6,71.5,209,1,1009.8,1
6/27/22 4:10,21.68,71.6,233,2,1009.9,1
6/27/22 4:15,21.65,71.7,218,1.5,1009.9,1
6/27/22 4:20,21.7,71.8,243,1.5,1009.7,1
6/27/22 4:25,21.68,71.7,243,2,1009.8,1
6/27/22 4:30,21.75,71.8,227,2,1009.5,1
6/27/22 4:35,21.77,71.9,223,2,1009.5,1
6/27/22 4:40,21.77,71.9,229,2.5,1009.7,1
6/27/22 4:45,21.68,72.2,258,1.5,1009.7,1
6/27/22 4:50,21.75,72.2,243,3,1009.5,1
6/27/22 4:55,21.49,72.8,236,1,1009.6,4
6/27/22 5:00,21.65,72.7,251,2,1009.6,6
6/27/22 5:05,21.56,73.2,239,1.5,1009.4,6
6/27/22 5:10,21.63,73,237,3,1009.4,8
6/27/22 5:15,21.49,73.4,261,0.5,1009.4,14
6/27/22 5:20,21.68,72.9,254,1.5,1009.4,18
6/27/22 5:25,21.82,72.5,256,1.5,1009.4,23
6/27/22 5:30,21.91,72.2,243,1.5,1009.4,26
6/27/22 5:35,21.91,72.5,256,1,1009.3,21
6/27/22 5:40,21.96,72.5,239,1,1009.3,22
6/27/22 5:45,22.11,72.2,246,2,1009.5,33
6/27/22 5:50,22.23,71.9,234,1.5,1009.3,44
